source_provider,query,status,item_count,error_message,updated_at
google_news_rss,012160,success,5,,2026-07-20 14:08:09
google_news_rss,465770,success,5,,2026-07-20 14:08:10
google_news_rss,322780,success,5,,2026-07-20 14:08:10
google_news_rss,368970,success,5,,2026-07-20 14:08:10
google_news_rss,263800,success,5,,2026-07-20 14:08:11
google_news_rss,졸스,success,5,,2026-07-20 14:08:11
google_news_rss,230360,success,5,,2026-07-20 14:08:11
google_news_rss,000760,success,5,,2026-07-20 14:08:12
google_news_rss,케이쓰리아이,success,5,,2026-07-20 14:08:12
google_news_rss,푸드나무,success,5,,2026-07-20 14:08:13
google_news_rss,008930,success,5,,2026-07-20 14:08:13
google_news_rss,024720,success,5,,2026-07-20 14:08:13
google_news_rss,020560,success,5,,2026-07-20 14:08:14
google_news_rss,유디엠텍,success,5,,2026-07-20 14:08:14
google_news_rss,007980,success,5,,2026-07-20 14:08:15
google_news_rss,296160,success,5,,2026-07-20 14:08:15
google_news_rss,419540,success,5,,2026-07-20 14:08:15
google_news_rss,088790,success,5,,2026-07-20 14:08:16
google_news_rss,236810,success,5,,2026-07-20 14:08:16
google_news_rss,058730,success,5,,2026-07-20 14:08:16
